Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
83,18,8,34,7,Some Random Commen with Id 83
84,18,8,66,8,Some Random Commen with Id 84
85,18,8,137,2,Some Random Commen with Id 85
86,18,8,52,0,Some Random Commen with Id 86
87,18,8,123,4,Some Random Commen with Id 87
88,18,8,1,2,Some Random Commen with Id 88
89,19,4,179,0,Some Random Commen with Id 89
90,19,4,12,7,Some Random Commen with Id 90
91,19,4,138,2,Some Random Commen with Id 91
92,19,4,3,1,Some Random Commen with Id 92
93,19,4,122,7,Some Random Commen with Id 93
94,20,7,39,3,Some Random Commen with Id 94
95,20,7,116,4,Some Random Commen with Id 95
96,20,7,37,2,Some Random Commen with Id 96
97,20,7,152,3,Some Random Commen with Id 97
98,21,0,104,1,Some Random Commen with Id 98
99,21,0,152,0,Some Random Commen with Id 99
100,22,8,174,3,Some Random Commen with Id 100
101,22,8,101,5,Some Random Commen with Id 101
102,22,8,131,4,Some Random Commen with Id 102
103,23,7,63,0,Some Random Commen with Id 103
104,23,7,151,6,Some Random Commen with Id 104
105,23,7,6,5,Some Random Commen with Id 105
106,23,7,72,6,Some Random Commen with Id 106
107,23,7,71,2,Some Random Commen with Id 107
108,23,7,184,9,Some Random Commen with Id 108
109,25,5,52,3,Some Random Commen with Id 109
110,25,5,163,4,Some Random Commen with Id 110
111,25,5,150,3,Some Random Commen with Id 111
112,25,5,98,1,Some Random Commen with Id 112
113,25,5,43,1,Some Random Commen with Id 113
114,25,5,92,4,Some Random Commen with Id 114
115,26,4,119,3,Some Random Commen with Id 115
116,26,4,156,9,Some Random Commen with Id 116
117,27,9,119,7,Some Random Commen with Id 117
118,27,9,194,4,Some Random Commen with Id 118
119,27,9,193,2,Some Random Commen with Id 119
120,27,9,51,7,Some Random Commen with Id 120
121,28,3,114,5,Some Random Commen with Id 121
122,28,3,15,7,Some Random Commen with Id 122
123,28,3,101,1,Some Random Commen with Id 123
124,28,3,35,6,Some Random Commen with Id 124
125,28,3,116,5,Some Random Commen with Id 125
126,28,3,146,5,Some Random Commen with Id 126
127,28,3,147,2,Some Random Commen with Id 127
128,29,6,5,9,Some Random Commen with Id 128
129,29,6,165,6,Some Random Commen with Id 129
130,29,6,148,0,Some Random Commen with Id 130
131,29,6,89,9,Some Random Commen with Id 131
132,29,6,29,9,Some Random Commen with Id 132
133,29,6,24,2,Some Random Commen with Id 133
134,29,6,41,5,Some Random Commen with Id 134
135,29,6,109,9,Some Random Commen with Id 135
136,29,6,173,4,Some Random Commen with Id 136
137,30,9,139,5,Some Random Commen with Id 137
138,30,9,163,2,Some Random Commen with Id 138
139,30,9,41,8,Some Random Commen with Id 139
140,30,9,65,2,Some Random Commen with Id 140
141,30,9,15,4,Some Random Commen with Id 141
142,31,7,175,9,Some Random Commen with Id 142
143,31,7,54,2,Some Random Commen with Id 143
144,31,7,101,6,Some Random Commen with Id 144
145,31,7,16,0,Some Random Commen with Id 145
146,31,7,158,3,Some Random Commen with Id 146
147,32,8,85,1,Some Random Commen with Id 147
148,32,8,52,3,Some Random Commen with Id 148
149,37,9,19,0,Some Random Commen with Id 149
150,38,4,96,1,Some Random Commen with Id 150
151,38,4,82,6,Some Random Commen with Id 151
152,38,4,116,3,Some Random Commen with Id 152
153,38,4,128,3,Some Random Commen with Id 153
154,38,4,103,7,Some Random Commen with Id 154
155,39,1,149,4,Some Random Commen with Id 155
156,39,1,43,9,Some Random Commen with Id 156
157,39,1,116,7,Some Random Commen with Id 157
158,39,1,13,8,Some Random Commen with Id 158
159,39,1,67,7,Some Random Commen with Id 159
160,39,1,49,0,Some Random Commen with Id 160
161,39,1,27,3,Some Random Commen with Id 161
162,39,1,161,7,Some Random Commen with Id 162
163,39,1,13,4,Some Random Commen with Id 163
